,Net Water (Rain−PET),Air Temp Min,Air Temp Max,Water Temp,Salinity,ODO (mg/L),Depth,Pressure,ODO (%Sat),Spec. Cond.,Turbidity,pH,Chlorophyll-a,Secchi Depth,NO₂+NO₃,DIN
Net Water (Rain−PET),0.0000,0.0000,0.0000,0.2021,-0.0899,-0.0214,0.0000,0.0000,-0.0109,-0.0242,0.0000,-0.0500,0.3952,-0.0351,0.3895,0.1459
Air Temp Min,0.0000,0.0000,0.0000,0.1838,0.0814,0.1454,0.0000,0.0000,0.1589,0.0167,0.0000,0.0449,0.0887,-0.0566,0.1884,0.1174
Air Temp Max,0.0000,0.0000,0.0000,0.2994,0.1543,0.1528,0.0000,0.0000,0.0545,0.1749,0.0000,0.0331,0.1774,0.1785,0.0259,0.0921
Water Temp,0.0000,0.0000,0.0000,0.9206,-0.0477,0.0628,0.0000,0.0000,-0.0484,-0.0765,0.0000,0.0519,0.3471,0.3519,0.2932,0.4040
Salinity,0.0000,0.0000,0.0000,-0.0317,0.9716,0.2922,0.0000,0.0000,-0.0125,1.0000,0.0000,0.1117,0.0920,0.0096,0.0398,0.0110
ODO (mg/L),0.0000,0.0000,0.0000,0.3391,0.0930,0.0330,0.0000,0.0000,-0.1736,0.0790,0.0000,0.2131,-0.0191,0.1348,0.0635,0.0869
Depth,0.0000,0.0000,0.0000,0.1868,-0.0922,-0.2508,0.0000,0.0000,-0.0752,-0.0959,0.0000,0.3481,0.1068,0.0640,-0.0011,0.0045
Pressure,0.0000,0.0000,0.0000,0.3121,-0.0422,-0.1390,0.0000,0.0000,-0.0689,-0.0374,0.0000,0.4328,0.1205,0.0910,0.0175,0.0264
ODO (%Sat),0.0000,0.0000,0.0000,-0.0196,-0.1489,0.3266,0.0000,0.0000,0.4170,-0.1329,0.0000,0.3239,0.2524,0.2009,0.1639,0.2243
Spec. Cond.,0.0000,0.0000,0.0000,-0.0508,0.8705,0.2790,0.0000,0.0000,0.0058,0.8135,0.0000,0.0991,0.1252,0.0730,0.1652,0.2472
Turbidity,0.0000,0.0000,0.0000,-0.1341,-0.1096,0.3221,0.0000,0.0000,0.4174,-0.0811,0.0000,0.1733,0.0624,0.0409,-0.0166,-0.0124
pH,0.0000,0.0000,0.0000,0.2616,0.1743,0.3123,0.0000,0.0000,0.2125,0.2421,0.0000,0.8534,0.3932,0.1469,-0.0946,-0.1274
Chlorophyll-a,0.0000,0.0000,0.0000,0.0439,-0.0597,0.0983,0.0000,0.0000,0.0550,-0.0422,0.0000,0.1274,0.2317,0.4222,-0.0728,-0.0362
Secchi Depth,0.0000,0.0000,0.0000,0.2172,0.1785,0.0932,0.0000,0.0000,0.0750,0.0536,0.0000,-0.0205,-0.1799,0.4431,-0.0523,0.0764
NO₂+NO₃,0.0000,0.0000,0.0000,-0.2218,0.1009,-0.0068,0.0000,0.0000,-0.0013,0.1879,0.0000,0.1808,0.3682,-0.2716,0.4487,0.3512
DIN,0.0000,0.0000,0.0000,-0.3226,0.2228,0.0934,0.0000,0.0000,0.0621,0.2571,0.0000,-0.0588,-0.0668,-0.2905,0.1646,0.5826
