,Net Water (Rain−PET),Air Temp Min,Air Temp Max,Water Temp,Salinity,ODO (mg/L),Depth,Pressure,ODO (%Sat),Spec. Cond.,Turbidity
Net Water (Rain−PET),0.0000,0.0000,0.0000,-0.0159,-0.1092,0.0802,-0.0447,-0.0812,0.0931,-0.0624,0.0720
Air Temp Min,0.0000,0.0000,0.0000,0.2243,0.1693,0.1060,0.0409,-0.0161,0.1263,0.2152,0.1045
Air Temp Max,0.0000,0.0000,0.0000,0.1319,0.0324,0.1407,0.0328,0.0246,0.1455,0.0335,-0.0202
Water Temp,0.0000,0.0000,0.0000,0.8457,-0.0580,-0.1481,-0.0126,0.2498,-0.2207,-0.0575,-0.0217
Salinity,0.0000,0.0000,0.0000,0.0242,0.9501,0.0088,0.0364,0.0521,-0.0229,0.5932,-0.0220
ODO (mg/L),0.0000,0.0000,0.0000,-0.0993,0.0740,0.2632,0.0348,0.0528,0.2906,0.1636,-0.0286
Depth,0.0000,0.0000,0.0000,-0.1006,-0.0452,0.0352,0.9138,0.6264,0.0565,-0.0782,0.0858
Pressure,0.0000,0.0000,0.0000,0.2352,-0.0084,0.0529,0.6689,1.0000,0.0087,-0.0409,-0.1427
ODO (%Sat),0.0000,0.0000,0.0000,-0.1867,0.0467,0.3174,0.0557,0.0110,0.3806,0.1871,0.0432
Spec. Cond.,0.0000,0.0000,0.0000,-0.0156,0.5294,0.1765,-0.0388,-0.0321,0.2014,0.8135,0.0834
Turbidity,0.0000,0.0000,0.0000,-0.0300,-0.0504,-0.0028,0.0992,-0.0695,0.0441,0.0154,0.9905
